date,volume,open,high,low,close,adjusted_close
2026-03-03,109897444,47.73,47.99,46.8,46.81,46.81
2026-03-04,162782228,45.68,45.8,44.74,44.74,44.74
2026-03-05,90527862,46.28,46.9,45.66,45.85,45.85
2026-03-06,44815274,45.4,45.92,45.35,45.6,45.6
2026-03-09,124545016,43.02,43.46,42.58,43.38,43.38
2026-03-10,76531081,45.1,45.22,43.93,44.56,44.56
2026-03-11,51607274,45.22,46.66,45.22,46.46,46.46
2026-03-12,46457228,45.99,46.27,45.58,45.65,45.65
2026-03-13,42396559,44.8,45.64,44.71,45.3,45.3
2026-03-16,40639135,45.5,45.72,44.96,45.17,45.17
2026-03-17,26041287,45.68,45.9,45.55,45.68,45.68
2026-03-18,35483319,46.42,46.63,46.21,46.45,46.45
2026-03-19,39774298,45.71,45.87,45.5,45.54,45.54
2026-03-20,29899678,45.65,45.74,45.1,45.26,45.26
2026-03-23,67001322,44.0,44.34,43.88,44.1,44.1
2026-03-24,38162214,44.92,44.93,43.8,44.13,44.13
2026-03-25,44165653,45.16,45.45,44.91,45.08,45.08
2026-03-26,23579476,45.21,45.49,44.86,44.9,44.9
2026-03-27,30933033,44.02,44.55,44.0,44.5,44.5
2026-03-30,47419283,43.4,43.74,43.32,43.66,43.66
2026-03-31,56822588,43.3,43.45,42.75,42.82,42.82
2026-04-01,43215978,44.42,44.8,44.24,44.73,44.73
2026-04-02,33332017,45.07,45.07,43.73,43.82,43.82
2026-04-07,21479000,44.51,44.71,44.27,44.54,44.54
2026-04-08,92091571,46.53,47.01,46.36,46.95,46.95
2026-04-09,38613218,47.0,47.0,46.7,46.9,46.9
2026-04-10,65840225,47.55,47.94,47.47,47.94,47.94
2026-04-13,34820088,47.88,48.03,47.67,47.86,47.86
2026-04-14,52400036,48.74,49.42,48.59,49.33,49.33
2026-04-15,45864087,50.0,50.65,49.8,50.2,50.2
2026-04-16,43501721,50.5,50.7,50.05,50.7,50.7
2026-04-17,68736543,50.3,50.3,49.98,50.05,50.05
2026-04-20,54186385,49.5,49.5,49.15,49.2,49.2
2026-04-21,35505641,49.72,50.0,49.4,49.94,49.94
2026-04-22,40721536,49.88,50.3,49.8,50.25,50.25
2026-04-23,73485510,51.1,51.8,49.54,50.35,50.35
2026-04-24,71251696,51.15,52.7,51.15,52.7,52.7
2026-04-27,100997275,55.0,55.55,54.55,54.85,54.85
2026-04-28,72213436,54.3,54.95,53.8,53.8,53.8
2026-04-29,52313591,52.9,53.55,52.55,53.05,53.05
2026-04-30,47706881,53.55,53.6,52.65,52.65,52.65
2026-05-04,51424584,53.95,55.5,53.85,55.4,55.4
2026-05-05,29271912,55.35,55.55,55.05,55.4,55.4
2026-05-06,42282249,56.2,56.75,55.4,56.1,56.1
2026-05-07,40445236,57.5,57.75,57.15,57.55,57.55
2026-05-08,33899557,57.2,57.5,56.2,57.1,57.1
2026-05-11,30943205,56.75,57.1,56.5,56.95,56.95
2026-05-12,42873369,57.05,57.4,56.1,56.9,56.9
2026-05-13,33153615,55.8,56.35,55.6,56.15,56.15
2026-05-14,25099890,57.0,57.15,56.2,56.6,56.6
2026-05-15,50888764,57.8,58.1,55.85,55.95,55.95
2026-05-18,31823580,55.15,56.1,54.75,55.85,55.85
2026-05-19,32719343,55.4,55.75,54.75,54.8,54.8
2026-05-20,28912670,54.75,55.0,54.4,54.45,54.45
2026-05-21,21841577,55.8,56.6,55.75,56.4,56.4
2026-05-22,33005123,56.85,57.7,56.6,57.65,57.65
2026-05-25,46477310,58.9,59.95,58.9,59.6,59.6
2026-05-26,26652531,60.1,60.2,59.25,59.25,59.25
2026-05-27,30613105,60.75,61.15,60.0,60.45,60.45
2026-05-28,48065607,61.25,61.55,59.0,59.4,59.4
2026-05-29,33405675,60.95,61.6,60.55,61.5,61.5
2026-06-01,34779344,62.15,63.2,62.0,62.05,62.05
